sel,accuracy,std_accuracy,k_medio,k_std,download_mb,sample_time
chain-of-thought-oort-llama3.1:8b,0.39213333333333333,0.12086728631396049,8.795918367346939,1.0732788256747279,103.44,0.5770943337278918
chain-of-thought-oort-llama3.2:3b,0.3812,0.13846611450049742,8.884353741496598,1.3853583244326466,104.48,0.22458183053741473
chain-of-thought-oort-qwen3:8b,0.39253333333333335,0.13908089550867686,9.70748299319728,4.793240153756093,114.16,2.537568330319728
chain-of-thought-poc-llama3.1:8b,0.38133333333333336,0.12490356640585132,8.46938775510204,2.32828657328666,99.6,0.5307034891972789
chain-of-thought-poc-llama3.2:3b,0.35440000000000005,0.15839772043131756,9.387755102040817,1.6560033027670897,110.39999999999999,0.20195953138095238
chain-of-thought-poc-qwen3:8b,0.3922666666666667,0.1381105445739844,7.605442176870748,5.285669597980694,89.44,1.7985585486598634
chain-of-thought-random-llama3.1:8b,0.37453333333333333,0.14861789690101015,8.510204081632653,2.3727836059818697,100.08,0.517316688911565
chain-of-thought-random-llama3.2:3b,0.36106666666666665,0.13356416954927466,8.673469387755102,2.2303564279994283,102.0,0.18202031315646283
chain-of-thought-random-qwen3:8b,0.37866666666666665,0.14337941852880304,5.537414965986394,4.535261194717277,65.12,1.6523978210816317
chain-of-thought-round_robin-llama3.1:8b,0.37666666666666665,0.12340149078486826,7.8979591836734695,3.5721427857285684,92.88,0.21257135950340134
chain-of-thought-round_robin-llama3.2:3b,0.3464,0.13395884805780084,9.89795918367347,0.7142857142857146,116.39999999999999,0.19132267957142837
chain-of-thought-round_robin-qwen3:8b,0.36693333333333333,0.12680026145992881,6.619047619047619,6.119943112783297,77.84,1.3187590830340135
description-only-oort-llama3.1:8b,0.38733333333333336,0.13243390328287818,9.829931972789115,2.3492733795670855,115.60000000000001,0.19763962050340117
description-only-oort-llama3.2:3b,0.3896,0.13109146796406304,9.183673469387756,0.7669722352699482,108.0,0.27910617010884337
description-only-oort-qwen3:8b,0.39239999999999997,0.1421727156703461,12.081632653061224,6.904953472985662,142.07999999999998,4.451842105619048
description-only-poc-llama3.1:8b,0.3736,0.13940646384641625,10.0,0.0,117.6,0.18049975965306098
description-only-poc-llama3.2:3b,0.36013333333333336,0.13862737662362928,10.0,0.0,117.6,0.2900168344489793
description-only-poc-qwen3:8b,0.3854666666666667,0.13706669646299668,7.687074829931973,5.666833397573807,90.39999999999999,3.799289697448978
description-only-random-llama3.1:8b,0.38906666666666667,0.10696265240264476,10.0,0.0,117.6,0.3804306780544218
description-only-random-llama3.2:3b,0.3617333333333333,0.14602270587354085,9.89795918367347,0.7142857142857146,116.39999999999999,0.21246892068707474
description-only-random-qwen3:8b,0.39066666666666666,0.11870168528748905,6.034013605442177,5.0061281417911445,70.96,4.71365997404762
few-shot-oort-llama3.1:8b,0.39199999999999996,0.14264868961420102,12.666666666666666,6.597909320944583,148.96,3.832427860408162
few-shot-oort-llama3.2:3b,0.39093333333333335,0.11976523582288691,9.353741496598639,0.7403958002602958,110.0,0.31080075796598644
few-shot-oort-qwen3:8b,0.3836,0.152498471414581,9.517006802721088,5.196625162193406,111.91999999999999,2.9690344011496594
few-shot-poc-llama3.1:8b,0.37693333333333334,0.1340529678828417,8.741496598639456,6.1798902161689115,102.8,3.2125039070068024
few-shot-poc-llama3.2:3b,0.35173333333333334,0.13500123456225627,5.0,0.0,58.8,0.3103706068571431
few-shot-poc-qwen3:8b,0.3846666666666667,0.1345395886009055,6.4421768707483,4.732368717780554,75.75999999999999,1.4346678819387753
few-shot-random-llama3.1:8b,0.38680000000000003,0.12442473031320386,10.755102040816327,7.290206364948623,126.47999999999999,1.8898432150612243
few-shot-random-llama3.2:3b,0.36493333333333333,0.11706285368002829,7.346938775510204,2.521168879112782,86.39999999999999,0.1324015847482995
few-shot-random-qwen3:8b,0.3877333333333334,0.1423506645987707,4.925170068027211,4.366468033078935,57.92,2.285222935183674
